,time (year),avca,cap,capis,capus,cbcefca,cdpis,cdpus,cipis,cipus,coca,cpis,cpus,crr,cucpis,cucpus,cucpus1980,ecr,ede,edefca,edelc,etfp,facnc,fracamgdppl,fracamgdppt,incpis,isgdp,lcpis,lcpus,lcpus1980,obsgipis,obsgipus,ogr,oly,oov,oro,owecc,owelc,pede,wsoefca
4838,2055.59,68315.5,685511.0,45717.7,14470.8,1.02475,36451.7,11307.5,48859.9,14928.9,1.07565,522314.0,163197.0,0.0875291,68576.5,21706.2,945.253,0.0302186,0.994134,1.07238,1.00724,2.14198,0.733046,0.65,0.634826,50078.4,0.246935,14.3289,14.4326,14.4326,0.01,0.02,0.0245164,240408.0,246920.0,246920.0,1.07565,0.962176,1.01448,1.63217
4839,2055.61,68328.1,685706.0,45750.4,14475.6,1.02369,36456.5,11311.1,48861.4,14926.1,1.07567,522459.0,163247.0,0.0875675,68625.6,21713.3,945.264,0.0302332,0.993785,1.07079,1.00708,2.14246,0.732955,0.65,0.634835,50081.4,0.246969,14.331,14.4325,14.4325,0.01,0.02,0.0245566,240510.0,247028.0,247028.0,1.07567,0.962165,1.01416,1.63108
4840,2055.62,68340.6,685900.0,45782.8,14480.3,1.02263,36461.3,11314.6,48862.2,14923.2,1.07569,522604.0,163296.0,0.0876051,68674.2,21720.4,945.275,0.0302476,0.993448,1.0692,1.00692,2.14293,0.732854,0.65,0.634845,50083.7,0.247,14.3331,14.4323,14.4323,0.01,0.02,0.0245963,240612.0,247136.0,247136.0,1.07569,0.962154,1.01384,1.62998
4841,2055.64,68353.0,686095.0,45814.9,14484.9,1.02155,36466.1,11318.2,48862.3,14920.3,1.07571,522750.0,163346.0,0.0876421,68722.3,21727.3,945.286,0.0302617,0.993122,1.06761,1.00676,2.1434,0.732743,0.65,0.634855,50085.2,0.247029,14.3352,14.4321,14.4321,0.01,0.02,0.0246356,240714.0,247243.0,247243.0,1.07571,0.962143,1.01352,1.62885
4842,2055.66,68365.4,686291.0,45846.6,14489.4,1.02046,36470.9,11321.7,48861.8,14917.4,1.07574,522896.0,163395.0,0.0876783,68769.9,21734.1,945.296,0.0302755,0.992807,1.06601,1.0066,2.14387,0.732622,0.65,0.634866,50086.0,0.247057,14.3373,14.432,14.432,0.01,0.02,0.0246745,240816.0,247351.0,247351.0,1.07574,0.962132,1.0132,1.62772
4843,2055.67,68377.7,686487.0,45878.0,14493.9,1.01937,36475.8,11325.3,48860.6,14914.4,1.07576,523042.0,163445.0,0.0877138,68817.1,21740.8,945.307,0.0302891,0.992505,1.06442,1.00644,2.14435,0.732492,0.65,0.634877,50086.1,0.247082,14.3394,14.4318,14.4318,0.01,0.02,0.024713,240918.0,247458.0,247458.0,1.07576,0.962121,1.01288,1.62658
4844,2055.69,68389.9,686683.0,45909.1,14498.2,1.01826,36480.7,11328.9,48858.7,14911.3,1.07578,523189.0,163494.0,0.0877486,68863.7,21747.4,945.318,0.0303025,0.992214,1.06283,1.00628,2.14482,0.732352,0.65,0.634889,50085.5,0.247105,14.3415,14.4317,14.4317,0.01,0.02,0.024751,241020.0,247566.0,247566.0,1.07578,0.96211,1.01257,1.62542
4845,2055.7,68402.2,686880.0,45939.8,14502.5,1.01715,36485.6,11332.4,48856.2,14908.3,1.0758,523337.0,163544.0,0.0877826,68909.7,21753.8,945.329,0.0303156,0.991935,1.06124,1.00612,2.14529,0.732202,0.65,0.634901,50084.2,0.247126,14.3437,14.4315,14.4315,0.01,0.02,0.0247886,241122.0,247673.0,247673.0,1.0758,0.962099,1.01225,1.62425
4846,2055.72,68414.4,687077.0,45970.2,14506.8,1.01603,36490.5,11336.0,48853.0,14905.2,1.07582,523484.0,163593.0,0.0878158,68955.3,21760.2,945.339,0.0303284,0.991668,1.05965,1.00596,2.14577,0.732043,0.65,0.634913,50082.3,0.247146,14.3458,14.4313,14.4313,0.01,0.02,0.0248258,241225.0,247780.0,247780.0,1.07582,0.962088,1.01193,1.62308
4847,2055.73,68426.6,687275.0,46000.2,14510.9,1.0149,36495.5,11339.5,48849.3,14902.0,1.07584,523632.0,163643.0,0.0878483,69000.4,21766.4,945.35,0.030341,0.991414,1.05807,1.00581,2.14624,0.731874,0.65,0.634925,50079.6,0.247163,14.3478,14.4312,14.4312,0.01,0.02,0.0248625,241327.0,247887.0,247887.0,1.07584,0.962078,1.01161,1.62189
