,time (year),awbdi,awbgw,awbi,awbin,awbp,awbps,iest,ipp,ird,ist,orp,pawbi,psestr,pssgdp,rd,ste,steerd,soc_trust,strerd,wbep
25,1980.39,0.941207,1.0,0.698767,0.863991,0.881454,0.893866,0.977766,29.9969,29.8089,0.676008,0.000243844,0.651537,0.69138,0.207414,29.9969,1.29634,0.997186,0.60214,0.996433,0.999989
26,1980.41,0.941372,1.0,0.699585,0.863758,0.881529,0.89619,0.977442,29.9966,29.7988,0.677261,0.000256459,0.651619,0.692892,0.207867,29.9966,1.29615,0.997041,0.602256,0.99624,0.999988
27,1980.42,0.941527,1.0,0.700388,0.863529,0.881605,0.898473,0.977123,29.9963,29.7885,0.678484,0.00026924,0.651702,0.694369,0.208311,29.9963,1.29596,0.996893,0.602373,0.996045,0.999988
28,1980.44,0.941673,1.0,0.701174,0.863303,0.881682,0.900715,0.97681,29.996,29.7781,0.679678,0.000282181,0.651787,0.695814,0.208744,29.996,1.29577,0.996744,0.602492,0.995847,0.999987
29,1980.45,0.94181,1.0,0.701946,0.863081,0.881759,0.902917,0.976501,29.9956,29.7676,0.680843,0.000295278,0.651872,0.697226,0.209168,29.9956,1.29557,0.996593,0.602612,0.995646,0.999986
30,1980.47,0.941937,1.0,0.702702,0.862862,0.881838,0.905079,0.976198,29.9953,29.757,0.681979,0.000308526,0.651959,0.698607,0.209582,29.9953,1.29537,0.99644,0.602735,0.995442,0.999985
31,1980.48,0.942056,1.0,0.703443,0.862647,0.881918,0.907203,0.975899,29.9949,29.7462,0.683087,0.00032192,0.652047,0.699957,0.209987,29.9949,1.29517,0.996286,0.602859,0.995236,0.999984
32,1980.5,0.942165,1.0,0.70417,0.862436,0.881998,0.909289,0.975606,29.9945,29.7353,0.684168,0.000335456,0.652137,0.701275,0.210383,29.9945,1.29497,0.996129,0.602984,0.995027,0.999983
33,1980.52,0.942265,1.0,0.704882,0.862228,0.882079,0.911337,0.975317,29.9941,29.7242,0.685222,0.000349127,0.652227,0.702564,0.210769,29.9941,1.29476,0.995972,0.603111,0.994815,0.999982
34,1980.53,0.942356,1.0,0.705579,0.862023,0.882161,0.913348,0.975033,29.9937,29.7131,0.686251,0.000362931,0.652318,0.703823,0.211147,29.9937,1.29456,0.995812,0.603239,0.994602,0.999981
35,1980.55,0.942439,1.0,0.706263,0.861822,0.882244,0.915324,0.974753,29.9932,29.7018,0.687253,0.000376862,0.652411,0.705053,0.211516,29.9932,1.29435,0.995652,0.603369,0.994385,0.99998
36,1980.56,0.942513,1.0,0.706933,0.861624,0.882327,0.917263,0.974478,29.9928,29.6905,0.68823,0.000390916,0.652504,0.706255,0.211877,29.9928,1.29414,0.995489,0.6035,0.994167,0.999979
37,1980.58,0.942578,1.0,0.707589,0.86143,0.882412,0.919168,0.974208,29.9923,29.679,0.689183,0.00040509,0.652599,0.707429,0.212229,29.9923,1.29392,0.995326,0.603632,0.993946,0.999978
38,1980.59,0.942634,1.0,0.708232,0.861238,0.882496,0.921038,0.973942,29.9918,29.6674,0.690111,0.000419378,0.652694,0.708575,0.212573,29.9918,1.29371,0.995161,0.603766,0.993724,0.999977
39,1980.61,0.942682,1.0,0.708862,0.86105,0.882582,0.922874,0.973681,29.9913,29.6558,0.691016,0.000433776,0.652791,0.709695,0.212908,29.9913,1.29349,0.994995,0.603901,0.993499,0.999976
40,1980.62,0.942721,1.0,0.709479,0.860865,0.882668,0.924677,0.973424,29.9908,29.644,0.691898,0.000448282,0.652888,0.710788,0.213236,29.9908,1.29328,0.994828,0.604037,0.993272,0.999975
41,1980.64,0.942752,1.0,0.710083,0.860683,0.882755,0.926447,0.973171,29.9902,29.6322,0.692757,0.00046289,0.652986,0.711855,0.213557,29.9902,1.29306,0.994659,0.604174,0.993043,0.999974
